,x,y
219,-30.020557,4.6074243
220,5.127784,-21.514128
221,-8.61565,-41.614254
222,16.903545,9.659092
223,4.945602,-19.96832
224,4.489137,-19.357508
225,9.892574,-9.943577
226,13.384045,-21.830263
227,4.3695235,-31.166323
228,-20.354729,-0.82094985
229,0.990638,25.228992
230,-15.850983,9.990739
231,5.070862,-24.783812
232,2.4425318,-11.830354
233,-14.856666,-2.495977
234,4.833268,-18.308115
235,10.722105,-28.165462
236,5.1544843,-23.547937
237,9.75269,-4.4748588
238,-20.76833,8.355754
239,-31.933771,6.0802026
240,-14.046266,5.1893697
241,5.557352,-20.040384
242,-9.245234,-41.26795
243,3.529839,-16.94842
244,-24.961975,-0.75569
245,-13.086549,0.736
246,-33.391064,7.88867
247,-11.087406,14.261102
248,1.265481,-37.335743
249,-11.876763,-3.4716158
250,4.9147654,-17.149878
251,-33.420948,7.591213
252,-32.578453,6.805323
253,2.3028545,-33.851536
254,4.225505,-20.23279
255,4.276254,-20.47997
256,-6.0666347,-1.3803122
257,-18.843,-1.5283873
258,-30.955658,8.430016
259,-14.627574,10.152811
260,-4.617724,-7.051676
261,15.770403,-15.122692
262,-33.06431,7.0615525
263,5.135422,-26.359035
264,15.806186,-8.5706005
265,3.6324556,-16.64901
266,6.7744994,-18.704863
267,-4.5734224,-2.38011
268,-25.506573,5.4589477
269,10.819341,11.380809
270,4.3912363,-13.556877
271,-1.7882334,-8.038377
272,-7.198132,-39.987595
273,2.2811174,23.496927
274,-8.746735,-5.702238
275,4.5870337,-9.50948
276,-24.816751,4.458981
277,-31.080929,8.007398
278,-16.388578,9.40416
279,7.791332,-32.254692
280,5.034681,-19.329546
281,-15.717626,7.000031
282,-33.271626,4.795734
283,-21.986582,6.3452606
284,-1.5393183,-10.67181
285,12.7631855,-22.606115
286,4.330279,-15.165569
287,0.7054811,-35.810085
288,5.058958,-16.837765
289,-3.276511,-38.690376
290,-27.814634,2.0158782
291,-5.6968703,20.765787
292,-34.288002,6.0312448
293,-6.4313707,20.069717
294,-31.904142,8.243331
295,5.6085105,-26.860716
296,-13.768738,-42.34309
297,-21.38585,3.6923964
298,-10.829325,0.6948498
299,-18.621653,8.078182
300,-4.2136054,17.701084
301,-33.38902,6.915606
302,4.786948,-10.6760645
303,-0.7452369,-36.44072
304,-7.068643,2.3940785
305,-21.579132,7.5376935
306,5.476408,24.647911
307,15.712492,-10.746278
308,3.7969859,-17.25627
309,-27.359379,1.9528958
310,-5.221002,19.794636
311,0.857268,-36.204517
312,-2.659828,-5.2526045
313,-28.139402,2.2868092
314,-10.688523,-41.357178
315,7.788325,-27.784115
316,-10.688094,12.84344
317,-9.740078,0.77979594
318,-10.044707,14.135838
319,-19.373016,8.079728
320,-1.9808161,17.406027
321,4.511812,-17.67419
322,5.7556357,22.81113
323,5.8667226,-26.22661
324,-19.263208,1.7658341
325,-9.077907,15.564179
326,4.80309,-20.131367
327,4.911478,-21.642082
328,14.4514885,-10.212591
329,-11.430533,-4.7784247
330,-13.706011,8.60862
331,-32.85494,4.6677146
332,-33.86578,7.0381083
333,5.8130674,-27.063463
334,5.5193853,-22.521599
335,7.048153,23.690414
336,-8.070577,5.0698104
337,-3.1313913,17.527119
338,0.95760727,-37.86891
339,6.4061775,-8.808571
340,-18.610727,-1.6532557
341,5.745115,-25.062151
342,12.147281,0.12497908
343,16.71151,7.3111453
344,-22.487812,0.5742319
345,-9.953047,14.3096895
346,-23.053162,7.7855597
347,-14.093767,-43.205772
348,7.9288487,-19.823893
349,5.7604337,-25.538435
350,7.24008,-8.42662
351,-2.6094909,17.360313
352,-17.407125,4.0251617
353,-4.013502,-5.489868
354,-6.7203746,19.520832
355,-33.308712,5.949286
356,-14.449963,10.853449
357,-23.432386,5.9038
358,8.475951,-22.719069
359,9.898356,-28.426558
360,4.861472,-11.229455
361,11.475301,16.89184
362,1.8122674,24.831219
363,-7.501397,0.17769702
364,12.101701,0.0809746
365,-17.071405,6.538062
366,5.694511,-10.452125
367,12.286005,9.284788
368,10.91492,-5.220537
369,13.927928,-19.49389
370,5.49498,-10.219964
371,-6.748746,19.60329
372,3.5911424,-33.366756
373,6.243844,-10.388015
374,-6.414845,0.48007134
375,16.708221,5.2791047
376,-3.660548,17.670149
377,-8.803082,5.1372175
378,-32.749947,5.8920364
379,-6.7579207,-39.845413
380,9.903001,-13.261038
381,5.770666,-24.42321
382,2.6507292,26.151815
383,1.0315005,27.264393
384,-6.7039647,18.188189
385,-7.3288293,17.883398
386,-13.999586,11.172497
387,-7.076407,-40.017986
388,5.6202307,21.479418
389,-3.5939298,23.56384
390,6.3638678,-24.119564
391,5.9889655,-19.888472
392,-5.0314097,17.982237
393,-22.567307,4.476733
394,-32.55714,5.9195123
395,-13.558987,6.244282
396,10.257329,-21.969765
397,18.596233,0.8195071
398,5.966987,-19.902184
399,-9.140904,4.2391486
400,1.6006043,32.56529
401,8.19196,-21.640434
402,5.360199,-17.756254
403,17.124187,12.785461
404,4.447437,33.42274
405,2.5977552,28.30787
406,0.83907163,32.143642
407,0.6602622,29.837421
408,-9.762829,14.776015
409,8.173256,-12.294778
410,-2.1655428,18.202982
411,7.2927146,20.383291
412,-22.953976,-0.19406137
413,-4.5992365,20.762392
414,13.91703,-6.9792128
415,-33.646564,5.355916
416,-30.5034,2.7931874
417,0.69974804,-37.529873
418,6.473527,-20.76289
419,16.428923,-6.8972845
420,-2.2078567,22.925352
421,-16.493612,9.766528
422,-8.513184,15.931864
423,-6.287493,20.373262
424,5.177673,23.761015
425,2.8351274,31.56011
426,-4.4236474,22.41119
427,-5.7558784,18.788713
428,-24.09828,1.7228078
429,10.226012,-29.285477
430,14.500648,15.178674
431,5.261275,20.988363
432,12.280762,17.506428
433,8.165955,-17.265816
434,9.742357,-29.939157
435,15.406135,-4.622156
436,7.2751184,-8.421878
437,11.321622,-15.520902
438,13.174983,-23.792067
439,-0.06709543,25.497875
440,-4.0518513,17.416874
441,-27.144796,8.208514
442,-26.49938,1.3387433
443,14.402959,16.739946
444,4.210417,23.808807
445,-32.76134,7.6421423
446,-17.962584,8.553397
447,-7.614746,15.472083
448,14.360354,16.60673
449,14.656395,13.925877
450,13.232542,16.96995
451,-33.14171,7.7087393
452,5.9537854,-8.222974
453,14.434286,-10.990062
454,17.872,4.3929725
455,-1.8086259,-38.16364
456,4.175523,-13.652837
457,12.733719,-19.358772
458,7.947084,19.469015
459,13.019957,-7.0574594
460,-27.362179,2.519989
461,-32.647446,7.960179
462,-5.884277,20.20446
463,13.795013,19.109682
464,4.3476224,-19.65676
465,11.755816,-2.674251
466,11.661766,-6.0966845
467,-20.731815,1.2051482
468,-16.499634,9.457216
469,11.312205,16.26905
470,7.040992,-3.9247923
471,-5.162349,17.80609
472,-16.11096,10.00722
473,15.8795805,-4.3067675
474,1.7460948,-37.487026
475,-14.199935,1.5436382
476,-29.95046,8.105559
477,16.275635,-6.1522913
478,-23.738556,5.7453713
479,12.525101,16.200596
480,-24.701853,7.9362373
481,4.1161413,25.094034
482,-1.9621198,17.916458
483,-8.316443,-5.542265
484,-8.648427,-0.44722483
485,-31.625103,7.4994817
486,-29.992567,8.366136
487,17.107937,6.5064244
488,5.854563,-22.310614
489,14.536133,13.380128
490,-3.9547448,-0.35751894
491,-14.019453,10.362906
492,-2.2514706,23.843924
493,4.3778524,-16.856207
494,17.532661,7.887789
495,13.580523,15.714345
496,2.6382208,34.03758
497,7.960992,-11.498028
498,-17.84265,0.05542667
499,-27.975708,2.3187711
500,-8.229142,15.7933445
501,18.891428,5.090838
502,0.66417825,26.59963
503,13.330904,-19.59774
504,18.105265,-1.4296144
505,-12.292677,3.0412917
506,-3.2757668,16.801744
507,-10.787345,11.6703615
508,2.9979792,26.636301
509,7.078631,20.10377
510,-11.187328,2.9637437
511,-13.08433,10.877334
512,13.160005,11.308245
513,3.5264938,28.22636
514,2.742657,27.866344
515,-23.942589,5.5761867
516,-28.73077,4.5068436
517,4.562331,-14.796039
518,13.145571,-3.1385098
519,16.026024,6.0587916
520,-14.297223,5.8231177
521,-11.544689,11.436458
522,8.711839,-17.174992
523,7.1183844,-8.683823
524,-5.9896154,-2.0432675
525,-29.750025,4.533424
526,-9.552532,0.3235994
527,7.7235684,-22.132902
528,5.6294603,21.083115
529,-6.790587,19.509504
530,-12.274095,11.681032
